,word,file_path,saved
0,అ,,False
1,అ.సం.రా. చిన్న దూరపు దీవులు,,False
2,అం టగు,,False
3,అంక,,False
4,అంక కాదు,,False
5,అంక తంత్రం,,False
6,అంక తలము,,False
7,అంక పీఠీ,,False
8,అంక పొంకములు,,False
9,అంకం,,False
10,అంకంబువాడు,,False
11,అంకంరెడ్డి,,False
12,అంకకత్తె,,False
13,అంకకరణము,,False
14,అంకకరము,,False
15,అంకకాడు,,False
16,అంకకారము,,False
17,అంకకారుడు,,False
18,అంకకుడు,,False
19,అంకగణితమధ్యము,,False
20,అంకగణితము,,False
21,అంకగణితము.,,False
22,అంకగత్తె,,False
23,అంకచండాలము,,False
24,అంకడం,,False
25,అంకడా,,False
26,అంకడు,,False
27,అంకణము,,False
28,అంకతంత్రము.,,False
29,అంకతి,,False
30,అంకదు,,False
31,అంకధారణ,,False
32,అంకధారణము,,False
33,అంకనము,,False
34,అంకనములు వ్రాయు,,False
35,అంకనీయము,,False
36,అంకపరివర్తనము,,False
37,అంకపరివర్తి,,False
38,అంకపాలి,,False
39,అంకపాలిక,,False
40,అంకపాళి,,False
41,అంకపాళిక,,False
42,అంకపాళీ,,False
43,అంకపొంకములు,,False
44,అంకపొంకాలు,,False
45,అంకబంధము,,False
46,అంకము,,False
47,అంకముఖము,,False
48,అంకముసేయు,,False
49,అంకమ్మ,,False
50,అంకమ్మసివాలు,,False
51,అంకమ్మసోకాలు,,False
52,అంకమ్మసోకాలు :,,False
53,అంకలెరుగు,,False
54,అంకలోపము,,False
55,అంకవంక,,False
56,అంకవన్నియ,,False
57,అంకవన్నె,,False
58,అంకశోధన,,False
59,అంకసిరి,,False
60,అంకస్సు,,False
61,అంకాంకము,,False
62,అంకాపొంకములు,,False
63,అంకారము,,False
64,అంకారించు,,False
65,అంకాల,,False
66,అంకాలు,,False
67,అంకాళ్ళమ్మ,,False
68,అంకావతారము,,False
69,అంకాస్యము,,False
70,అంకించుకుపోవు,,False
71,అంకిచనము,,False
72,అంకిచనుడు,,False
73,అంకిణి,,False
74,అంకిణీలు,,False
75,అంకితం,,False
76,అంకితభావం,,False
77,అంకితభావము,,False
78,అంకితమగు,,False
79,అంకితమిచ్చు,,False
80,అంకితమొనర్చు,,False
81,అంకితవ్యము,,False
82,అంకిత్,,False
83,అంకిని,,False
84,అంకినీడు,,False
85,అంకియ,,False
86,అంకియము,,False
87,అంకిలి,,False
88,అంకిలినొక్కు,,False
89,అంకిలిపడు,,False
90,అంకిలిపాటు,,False
91,అంకిలిపెట్టు,,False
92,అంకిల్బిషము,,False
93,"అంకిళ్లు,",,False
94,అంకిళ్ళు,,False
95,అంకు,,False
96,అంకుట,,False
97,అంకుటము,,False
98,అంకుడు,,False
99,అంకుడు చెట్టు,,False
100,అంకుపము,,False
101,అంకుర,,False
102,అంకురకము,,False
103,అంకురనిరోధము,,False
104,అంకురమెత్తు,,False
105,అంకురారోపణం,,False
106,అంకురారోపణము,,False
107,అంకురార్పణ,,False
108,అంకురార్పణము,,False
109,అంకురించడము,,False
110,అంకురించు,,False
111,అంకురించుట,,False
112,అంకురితము,,False
113,అంకురిలు,,False
114,అంకురిల్లు,,False
115,అంకురోత్పత్తి,,False
116,అంకుర్,,False
117,అంకుశగ్రహుడు,,False
118,అంకుశన్యాయము,,False
119,అంకుశము,,False
120,అంకుసంకులు,,False
121,అంకుసంబుమాద్రి,,False
122,అంకూపము,,False
123,అంకె,,False
124,అంకె వేసుకొను,,False
125,అంకెం,,False
126,అంకెకత్తె,,False
127,అంకెకాడు,,False
128,అంకెకువచ్చు,,False
129,అంకెగొను,,False
130,అంకెము,,False
131,అంకెయ,,False
132,అంకెల భాష,,False
133,అంకెలు,,False
134,అంకెళ్లు,,False
135,అంకెవన్నియ,,False
136,అంకెవన్నె,,False
137,"అంకెవేసికొను, అంకెవైచికొను",,False
138,అంకోలబీజన్యాయము,,False
139,అంకోలము,,False
140,అంక్యము,,False
141,అంగ దేశం,,False
142,అంగ ప్రదక్షిణం,,False
143,అంగ ప్రాయశ్చిత్తం,,False
144,అంగ మర్దనము,,False
145,అంగ రేకు,,False
146,అంగ వర్తులత్వ సౌష్ఠవము,,False
147,అంగ వేయు,,False
148,అంగ వ్యవస్థ,,False
149,అంగ సంస్కారం,,False
150,అంగ సాముద్రికం,,False
151,అంగ హారము,,False
152,అంగ హీనుడు,,False
153,అంగకము,,False
154,అంగకాడు,,False
155,అంగక్రియ,,False
156,అంగగ్రహము,,False
157,అంగచతుష్టయము,,False
158,అంగచూషణ,,False
159,అంగజము,,False
160,అంగజవైరి,,False
161,అంగజహరుడు,,False
162,అంగజాంతకుడు,,False
163,అంగజారి,,False
164,అంగజులు,,False
165,అంగటి,,False
166,అంగట్ల అమ్ముకచ్చుడు,,False
167,అంగడము,,False
168,అంగడాల,,False
169,అంగడాలు,,False
170,అంగడి,,False
171,అంగడి కెక్కు,,False
172,అంగడికెక్కు,,False
173,అంగడిచేయు,,False
174,అంగడిపెట్టు,,False
175,అంగడిబెట్టు,,False
176,అంగడిబొమ్మ,,False
177,అంగడివాడ,,False
178,అంగడివాడలు,,False
179,అంగడివీధి,,False
