Unnamed: 0,word,file_path,saved
34295,దశ-ప్రజాపతులు,,False
34296,దశ-ప్రాణములు,,False
34297,దశ-భావకతత్త్వములు,,False
34298,దశ-మహావిద్యలు,,False
34299,దశ-ముద్రాదేవతలు,,False
34300,దశ-యమములు,,False
34301,దశ-యోగవిఘ్నములు,,False
34302,దశ-రూపకములు,,False
34303,దశ-సంస్కారములు,,False
34304,దశకము,,False
34305,దశక్షీరములు,,False
34306,దశగురువిద్యలు,,False
34307,దశఛందస్సు యొక్క అంగములు,,False
34308,దశజయంతులు,,False
34309,దశజ్వరావస్థలు,,False
34310,దశదానములు,,False
34311,దశదానాలు,,False
34312,దశదిశలు,,False
34313,దశదూపాంగములు,,False
34314,దశధనుర్వేదాంగములు,,False
34315,దశధూపాంగములు,,False
34316,దశధేనువులు,,False
34317,దశనము,,False
34318,దశనవాసస్సు,,False
34319,దశనాట్యాంగములు,,False
34320,దశనాడీచక్రము,,False
34321,దశనాడులు,,False
34322,దశనాదములు,,False
34323,దశనాధములు,,False
34324,దశనామములు,,False
34325,దశనియమములు,,False
34326,దశప్రజాపతులు,,False
34327,దశబలములు,,False
34328,దశబలుడు,,False
34329,దశమ ద్రవ్యం,,False
34330,దశమము,,False
34331,దశముఖరుద్రాక్ష,,False
34332,దశముఖుడు,,False
34333,దశయమములు,,False
34334,దశరధుడు,,False
34335,దశరా,,False
34336,దశరాత్రజ్ఞాతి,,False
34337,దశరాత్రములు,,False
34338,దశరుద్రకళలు,,False
34339,దశరూపకములు,,False
34340,దశరూపభృత్తు,,False
34341,దశలాస్యాంగములు,,False
34342,దశలింగములు,,False
34343,దశవాజి,,False
34344,దశవాయువులు,,False
34345,దశవాహనములు,,False
34346,దశవిధ కామములు,,False
34347,దశవిధ గుణములు,,False
34348,దశవిధ గురుకళలు,,False
34349,దశవిధ గురుకుల కళలు,,False
34350,దశవిధ చక్షుర్వింద్రియ రూపకములు,,False
34351,దశవిధ నాదములు,,False
34352,దశవిధ పుణ్యకర్మలు,,False
34353,దశవిధ ప్రజాపతులు,,False
34354,దశవిధ బ్రాహ్మణులు,,False
34355,దశవిధ మండలములు,,False
34356,దశవిధ వాయువులు,,False
34357,దశవిధ వైష్ణవులు,,False
34358,దశవిధ సిద్ధులు,,False
34359,దశవిధ-అంగభోగములు,,False
34360,దశవిధ-కవులు,,False
34361,దశవిధ-గమకములు,,False
34362,దశవిధ-చుంబనములు,,False
34363,దశవిధ-జ్ఞాని చిహ్నములు,,False
34364,దశవిధ-బాహుప్రచారములు,,False
34365,దశవిధ-బ్రాహ్మణులు,,False
34366,దశవిధ-శౌచము,,False
34367,దశవిధ-సన్మార్గములు,,False
34368,దశవిధపాపములు,,False
34369,దశవిధబ్రాహ్మణులు,,False
34370,దశవిధవాయువులు,,False
34371,దశవిధవైష్ణవులు,,False
34372,దశశాంతులు,,False
34373,దశాంగములు,,False
34374,దశాంశపద్ధతి,,False
34375,దశానామేకదశన్యాయము,,False
34376,దశానిపాకము,,False
34377,దశాబ్దములు,,False
34378,దశాబ్దాలు,,False
34379,దశాబ్ధం,,False
34380,దశావతారములు,,False
34381,దశాశ్వుడు,,False
34382,దశాహము,,False
34383,దశేంద్రియములు,,False
34384,దశోపనిషత్తులు,,False
34385,దష్టము,,False
34386,దసరా,,False
