Unnamed: 0,word,file_path,saved
0,అ,,2
1,అ.సం.రా. చిన్న దూరపు దీవులు,,2
2,అం టగు,,2
3,అంక,,2
4,అంక కాదు,,2
5,అంక తంత్రం,,2
6,అంక తలము,,2
7,అంక పీఠీ,,2
8,అంక పొంకములు,,2
9,అంకం,,2
10,అంకంబువాడు,,2
11,అంకంరెడ్డి,,2
12,అంకకత్తె,,2
13,అంకకరణము,,2
14,అంకకరము,,False
15,అంకకాడు,,False
16,అంకకారము,,False
17,అంకకారుడు,,False
18,అంకకుడు,,False
19,అంకగణితమధ్యము,,False
20,అంకగణితము,,False
21,అంకగణితము.,,False
22,అంకగత్తె,,False
23,అంకచండాలము,,False
24,అంకడం,,False
25,అంకడా,,False
26,అంకడు,,False
27,అంకణము,,False
28,అంకతంత్రము.,,False
29,అంకతి,,False
30,అంకదు,,False
31,అంకధారణ,,False
32,అంకధారణము,,False
33,అంకనము,,False
34,అంకనములు వ్రాయు,,False
35,అంకనీయము,,False
36,అంకపరివర్తనము,,False
37,అంకపరివర్తి,,False
38,అంకపాలి,,False
39,అంకపాలిక,,False
40,అంకపాళి,,False
41,అంకపాళిక,,False
42,అంకపాళీ,,False
43,అంకపొంకములు,,False
44,అంకపొంకాలు,,False
45,అంకబంధము,,False
46,అంకము,,False
47,అంకముఖము,,False
48,అంకముసేయు,,False
49,అంకమ్మ,,False
50,అంకమ్మసివాలు,,False
51,అంకమ్మసోకాలు,,False
52,అంకమ్మసోకాలు :,,False
53,అంకలెరుగు,,False
54,అంకలోపము,,False
55,అంకవంక,,False
56,అంకవన్నియ,,False
57,అంకవన్నె,,False
58,అంకశోధన,,False
59,అంకసిరి,,False
60,అంకస్సు,,False
61,అంకాంకము,,False
62,అంకాపొంకములు,,False
63,అంకారము,,False
64,అంకారించు,,False
65,అంకాల,,False
66,అంకాలు,,False
67,అంకాళ్ళమ్మ,,False
68,అంకావతారము,,False
69,అంకాస్యము,,False
70,అంకించుకుపోవు,,False
71,అంకిచనము,,False
72,అంకిచనుడు,,False
73,అంకిణి,,False
74,అంకిణీలు,,False
75,అంకితం,,False
76,అంకితభావం,,False
77,అంకితభావము,,False
78,అంకితమగు,,False
79,అంకితమిచ్చు,,False
